index,polarity
0,0.0
1,-0.096875
2,0.0
3,-0.1875
4,0.0
5,0.0
6,-0.125
7,0.0
8,0.0
9,0.0
10,0.2833333333333334
11,0.14285714285714285
12,0.0
13,-0.04999999999999999
14,0.16666666666666669
15,0.05952380952380952
16,0.05952380952380952
17,0.0
18,0.0
19,0.0
20,0.21666666666666667
21,0.0
22,0.0
23,0.0
24,0.0
25,0.20555555555555557
26,0.0
27,0.0
28,-0.15625
29,-0.017142857142857144
30,0.0
31,0.0
32,0.9099999999999999
33,-0.2
34,0.0
35,-0.03333333333333333
36,0.10714285714285714
37,0.0
38,0.1396103896103896
39,0.0
40,0.0
41,0.0
42,0.4
43,0.0
44,0.5
45,-0.06666666666666667
46,0.0
47,-0.2
48,0.0
49,0.225
50,0.0
51,0.0
52,0.0
53,-0.2198653198653199
54,0.1
55,0.0
56,-0.02142857142857143
57,0.0
58,0.0
59,0.0
60,0.03333333333333333
61,0.0
62,0.2222222222222222
63,0.0
64,0.0
65,0.0
66,-0.012500000000000011
67,0.0
68,-0.1875
69,0.0
70,0.0
71,0.0
72,0.0
73,-0.8
74,0.0
75,0.25
76,-0.125
77,0.0
78,0.0
79,0.5
80,0.0
81,0.375
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.5
89,0.25
90,0.35
91,0.0
92,0.0
93,1.0
94,0.25
95,0.0
96,0.0
97,-0.038888888888888896
98,0.08484848484848484
99,0.0
100,0.0
101,0.0
102,0.0
103,0.5633333333333334
104,0.0
105,0.5
106,0.0
107,0.0
108,-0.15555555555555559
109,0.0
110,0.125
111,0.4000000000000001
112,0.0
113,0.0
114,0.0
115,0.0
116,0.2111111111111111
117,0.0
118,0.0
119,0.4000000000000001
120,0.0
121,0.10000000000000002
122,0.0
123,0.0
124,0.0
125,0.0
126,-0.125
127,0.5
128,-0.09999999999999992
129,0.0
130,0.0
131,-0.025
132,0.0
133,0.5
134,-0.2
135,0.0
136,0.17777777777777778
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,-0.25
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.23
149,0.2033333333333333
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.7
158,0.0
159,0.25
160,0.06111111111111112
161,-0.25
162,0.0
163,0.0
164,0.0
165,0.0
166,-0.15555555555555559
167,0.0
168,-0.2888888888888889
169,0.0
170,0.0
171,-0.051851851851851864
172,-0.020000000000000004
173,0.45
174,0.48750000000000004
175,0.25
176,-0.125
177,-0.16111111111111112
178,0.3
179,0.0
180,-0.6518518518518518
181,0.0
182,0.0
183,0.13636363636363635
184,0.6666666666666666
185,0.0
186,0.5
187,0.0
188,-0.5
189,0.0
190,0.0
191,0.0
192,0.0
193,-0.2
194,0.0
195,0.0
196,0.2
197,0.0
198,0.16666666666666666
199,-0.6666666666666666
200,0.0
201,0.0
202,0.4
203,-0.15555555555555559
204,0.0
205,0.0
206,0.475
207,0.27878787878787875
208,0.0
209,-0.6666666666666666
210,0.0
211,0.16666666666666666
212,0.3181818181818182
213,0.0
214,0.0
215,0.0
216,0.0
217,-0.125
218,0.52
219,0.2
220,0.0
221,0.43333333333333335
222,0.43333333333333335
223,0.1
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.3681818181818182
231,0.4
232,0.6
233,0.4125
234,0.26
235,0.0
